date,count
1/1/2016,39926
2/1/2016,41608
3/1/2016,44840
4/1/2016,33566
5/1/2016,32866
6/1/2016,29429
7/1/2016,26493
8/1/2016,27018
9/1/2016,29793
10/1/2016,37216
11/1/2016,39285
12/1/2016,51147
1/1/2017,54097
2/1/2017,39598
3/1/2017,37333
4/1/2017,37305
5/1/2017,38576
6/1/2017,31541
7/1/2017,26818
8/1/2017,27308
9/1/2017,31670
10/1/2017,35928
11/1/2017,42067
12/1/2017,47725
1/1/2018,60908
2/1/2018,58026
3/1/2018,36779
4/1/2018,33011
5/1/2018,37053
6/1/2018,29407
7/1/2018,24566
8/1/2018,24373
9/1/2018,30728
10/1/2018,41543
11/1/2018,40030
12/1/2018,48373
1/1/2019,47616
2/1/2019,40447
3/1/2019,38717
4/1/2019,35711
5/1/2019,36033
6/1/2019,29981
7/1/2019,24480
8/1/2019,19906
9/1/2019,31443
10/1/2019,33290
11/1/2019,38579
12/1/2019,52660
1/1/2020,60143
2/1/2020,45316
3/1/2020,86714
4/1/2020,49483
5/1/2020,18420
6/1/2020,2194
