borough,age,date,count
Bronx,All age groups,1/1/2016,9113
Bronx,All age groups,2/1/2016,9608
Bronx,All age groups,3/1/2016,10402
Bronx,All age groups,4/1/2016,8119
Bronx,All age groups,5/1/2016,7413
Bronx,All age groups,6/1/2016,6547
Bronx,All age groups,7/1/2016,5824
Bronx,All age groups,8/1/2016,6079
Bronx,All age groups,9/1/2016,6945
Bronx,All age groups,10/1/2016,9284
Bronx,All age groups,11/1/2016,9676
Bronx,All age groups,12/1/2016,12240
Bronx,All age groups,1/1/2017,13447
Bronx,All age groups,2/1/2017,9229
Bronx,All age groups,3/1/2017,8379
Bronx,All age groups,4/1/2017,8398
Bronx,All age groups,5/1/2017,8942
Bronx,All age groups,6/1/2017,6953
Bronx,All age groups,7/1/2017,5565
Bronx,All age groups,8/1/2017,5866
Bronx,All age groups,9/1/2017,6907
Bronx,All age groups,10/1/2017,8674
Bronx,All age groups,11/1/2017,10127
Bronx,All age groups,12/1/2017,11312
Bronx,All age groups,1/1/2018,15150
Bronx,All age groups,2/1/2018,15814
Bronx,All age groups,3/1/2018,9499
Bronx,All age groups,4/1/2018,8298
Bronx,All age groups,5/1/2018,9618
Bronx,All age groups,6/1/2018,7304
Bronx,All age groups,7/1/2018,5982
Bronx,All age groups,8/1/2018,5943
Bronx,All age groups,9/1/2018,7793
Bronx,All age groups,10/1/2018,11117
Bronx,All age groups,11/1/2018,10703
Bronx,All age groups,12/1/2018,12128
Bronx,All age groups,1/1/2019,12099
Bronx,All age groups,2/1/2019,10330
Bronx,All age groups,3/1/2019,10324
Bronx,All age groups,4/1/2019,9246
Bronx,All age groups,5/1/2019,9246
Bronx,All age groups,6/1/2019,7445
Bronx,All age groups,7/1/2019,6134
Bronx,All age groups,8/1/2019,5002
Bronx,All age groups,9/1/2019,8193
Bronx,All age groups,10/1/2019,8982
Bronx,All age groups,11/1/2019,10476
Bronx,All age groups,12/1/2019,13924
Bronx,All age groups,1/1/2020,15860
Bronx,All age groups,2/1/2020,11849
Bronx,All age groups,3/1/2020,19845
Bronx,All age groups,4/1/2020,10752
Bronx,All age groups,5/1/2020,4346
Bronx,All age groups,6/1/2020,514
Bronx,Ages 0-4 years,1/1/2016,2460
Bronx,Ages 0-4 years,2/1/2016,2046
Bronx,Ages 0-4 years,3/1/2016,1867
Bronx,Ages 0-4 years,4/1/2016,1564
Bronx,Ages 0-4 years,5/1/2016,1470
Bronx,Ages 0-4 years,6/1/2016,1394
Bronx,Ages 0-4 years,7/1/2016,1095
Bronx,Ages 0-4 years,8/1/2016,1047
Bronx,Ages 0-4 years,9/1/2016,1214
Bronx,Ages 0-4 years,10/1/2016,2121
Bronx,Ages 0-4 years,11/1/2016,2773
