Category: All categories

Week,face mask: (United States),toilet paper: (United States),zoom: (United States),hand sanitizer: (United States)
2019-11-03,1,1,4,<1
2019-11-10,1,1,5,<1
2019-11-17,1,1,4,<1
2019-11-24,2,1,4,<1
2019-12-01,1,1,4,<1
2019-12-08,1,1,4,<1
2019-12-15,2,1,4,<1
2019-12-22,2,1,3,<1
2019-12-29,2,1,3,<1
2020-01-05,2,1,4,<1
2020-01-12,1,1,5,<1
2020-01-19,2,1,5,<1
2020-01-26,4,1,4,1
2020-02-02,3,1,5,1
2020-02-09,2,1,4,1
2020-02-16,2,1,5,1
2020-02-23,8,1,5,2
2020-03-01,6,3,5,20
2020-03-08,6,35,13,42
2020-03-15,9,40,47,28
2020-03-22,13,21,88,17
2020-03-29,40,15,100,18
2020-04-05,47,12,84,14
2020-04-12,31,7,74,10
2020-04-19,30,5,64,10
2020-04-26,25,4,57,8
2020-05-03,22,3,49,7
2020-05-10,20,3,47,7
2020-05-17,19,2,41,6
2020-05-24,17,2,33,5
2020-05-31,12,2,34,4
2020-06-07,12,1,28,3
2020-06-14,15,1,25,3
2020-06-21,19,1,24,7
2020-06-28,21,1,21,4
2020-07-05,21,1,23,5
2020-07-12,23,1,24,6
2020-07-19,20,1,25,7
2020-07-26,17,1,25,6
2020-08-02,15,1,28,5
2020-08-09,14,1,37,4
2020-08-16,12,1,51,3
2020-08-23,10,1,53,2
2020-08-30,9,1,56,2
2020-09-06,9,1,50,2
2020-09-13,8,1,48,1
2020-09-20,8,1,43,1
2020-09-27,7,1,34,1
2020-10-04,8,1,33,1
2020-10-11,7,1,25,1
2020-10-18,7,1,29,1
2020-10-25,8,1,25,1
2020-11-01,5,1,19,1
2020-11-08,7,2,24,1
2020-11-15,7,3,27,1
2020-11-22,6,2,20,1
2020-11-29,6,2,25,1
2020-12-06,6,2,25,1
2020-12-13,5,1,26,1
2020-12-20,4,1,20,1
2020-12-27,5,1,14,1
2021-01-03,5,1,21,1
2021-01-10,5,1,23,1
2021-01-17,6,1,22,1
2021-01-24,6,1,25,1
2021-01-31,5,1,25,1
2021-02-07,5,1,25,1
2021-02-14,4,1,21,1
2021-02-21,5,1,22,1
2021-02-28,5,1,23,1
2021-03-07,4,1,20,1
2021-03-14,4,1,18,1
2021-03-21,4,1,19,1
2021-03-28,4,1,17,1
2021-04-04,4,1,17,1
2021-04-11,4,1,18,1
2021-04-18,4,1,18,1
2021-04-25,4,1,17,1
2021-05-02,3,1,16,1
2021-05-09,4,1,9,1
