,race,city,eoe,call
0,w,c,1.0,0.0
1,w,c,1.0,0.0
2,b,c,1.0,0.0
3,b,c,1.0,0.0
4,w,c,1.0,0.0
5,w,c,1.0,0.0
6,w,c,1.0,0.0
7,b,c,1.0,0.0
8,b,c,1.0,0.0
9,b,c,1.0,0.0
10,b,c,1.0,0.0
11,w,c,1.0,0.0
12,b,c,1.0,0.0
13,w,c,1.0,0.0
14,b,c,1.0,0.0
15,w,c,1.0,0.0
16,w,c,1.0,0.0
17,b,c,1.0,0.0
18,w,c,0.0,0.0
19,b,c,0.0,0.0
20,b,c,0.0,0.0
21,w,c,0.0,0.0
22,w,c,0.0,0.0
23,w,c,0.0,0.0
24,w,c,0.0,0.0
25,b,c,0.0,0.0
26,b,c,0.0,0.0
27,w,c,0.0,0.0
28,b,c,0.0,0.0
29,b,c,0.0,0.0
30,w,c,0.0,0.0
31,b,c,0.0,0.0
32,w,c,0.0,0.0
33,b,c,0.0,0.0
34,w,c,0.0,0.0
35,w,c,1.0,0.0
36,b,c,1.0,0.0
37,b,c,0.0,0.0
38,b,c,1.0,0.0
39,w,c,0.0,0.0
40,w,c,1.0,0.0
41,b,c,0.0,0.0
42,w,c,0.0,0.0
43,w,c,0.0,0.0
44,b,c,0.0,0.0
45,b,c,0.0,0.0
46,w,c,0.0,0.0
47,b,c,0.0,0.0
48,w,c,0.0,0.0
49,b,c,0.0,0.0
50,b,c,0.0,0.0
51,w,c,0.0,0.0
52,w,c,0.0,0.0
53,b,c,0.0,0.0
54,w,c,0.0,0.0
55,b,c,0.0,0.0
56,w,c,0.0,0.0
57,b,c,0.0,0.0
58,w,c,1.0,0.0
59,b,c,1.0,0.0
60,b,c,1.0,0.0
61,w,c,1.0,0.0
62,w,c,0.0,0.0
63,w,c,1.0,0.0
64,b,c,0.0,0.0
65,b,c,1.0,0.0
66,b,c,1.0,0.0
67,w,c,1.0,0.0
68,b,c,0.0,0.0
69,w,c,0.0,0.0
70,w,c,1.0,0.0
71,b,c,1.0,0.0
72,b,c,0.0,0.0
73,w,c,1.0,0.0
74,w,c,0.0,0.0
75,b,c,1.0,0.0
76,w,c,1.0,0.0
77,b,c,1.0,0.0
78,b,c,1.0,0.0
79,w,c,1.0,0.0
80,b,c,0.0,0.0
81,w,c,0.0,0.0
82,w,c,0.0,0.0
83,b,c,0.0,0.0
84,b,c,0.0,0.0
85,w,c,0.0,1.0
86,w,c,0.0,0.0
87,b,c,1.0,0.0
88,w,c,1.0,0.0
89,w,c,1.0,0.0
90,b,c,0.0,0.0
91,w,c,0.0,0.0
92,b,c,1.0,0.0
93,b,c,0.0,0.0
94,b,c,1.0,0.0
95,w,c,0.0,1.0
96,b,c,0.0,0.0
97,w,c,1.0,0.0
98,b,c,1.0,0.0
99,w,c,1.0,0.0
100,b,c,1.0,0.0
101,w,c,1.0,0.0
102,b,c,0.0,0.0
103,w,c,0.0,0.0
104,w,c,0.0,0.0
105,w,c,1.0,1.0
106,b,c,0.0,0.0
107,b,c,1.0,1.0
108,b,c,0.0,0.0
109,w,c,0.0,0.0
110,w,c,1.0,0.0
111,b,c,1.0,0.0
112,w,c,1.0,0.0
113,b,c,1.0,0.0
114,w,c,1.0,0.0
115,b,c,1.0,0.0
116,w,c,1.0,0.0
117,b,c,1.0,0.0
118,b,c,1.0,0.0
119,w,c,1.0,0.0
120,b,c,1.0,0.0
121,w,c,1.0,0.0
122,w,c,0.0,0.0
123,w,c,0.0,0.0
124,b,c,0.0,0.0
125,b,c,0.0,0.0
126,b,c,0.0,1.0
127,w,c,0.0,1.0
128,b,c,1.0,0.0
129,w,c,1.0,0.0
